iter	Logloss
0	0.6872242764
1	0.6826115565
2	0.6780115176
3	0.6736945083
4	0.6701630893
5	0.6670744214
6	0.6639518198
7	0.6608877734
8	0.657913371
9	0.6550509601
10	0.6529033871
11	0.6509124176
12	0.6487287336
13	0.6481434263
14	0.6452519994
15	0.6436964209
16	0.6416120548
17	0.6399653869
18	0.6388335832
19	0.6382491637
20	0.6368427825
21	0.6356852273
22	0.6345224791
23	0.633213838
24	0.6324148193
25	0.6317126057
26	0.6305137879
27	0.6295237284
28	0.6283448693
29	0.6272716371
30	0.6259815371
31	0.6255107628
32	0.6251463205
33	0.6241945758
34	0.6227720787
35	0.6220819455
36	0.6216451359
37	0.620792916
38	0.6199560846
39	0.6191982866
40	0.6185984116
41	0.618180575
42	0.6176453445
43	0.6167976784
44	0.6158787222
45	0.6152668899
46	0.6146782099
47	0.6137306793
48	0.612820126
49	0.6121415496
50	0.6109557074
51	0.6099836096
52	0.6097355875
53	0.608865458
54	0.6080483934
55	0.607721532
56	0.607077548
57	0.6064230558
58	0.6058766923
59	0.6052754658
60	0.6044733156
61	0.6039498579
62	0.6029599562
63	0.6026160365
64	0.6023517277
65	0.6017656906
66	0.6012043991
67	0.6005615856
68	0.6002016795
69	0.599530013
70	0.5987744554
71	0.5980415204
72	0.5975053851
73	0.5970844186
74	0.5962589935
75	0.5953178259
76	0.5945364027
77	0.5935414046
78	0.592428158
79	0.5917356006
80	0.5913411193
81	0.5908935485
82	0.5903921439
83	0.5900032592
84	0.5891784542
85	0.588959323
86	0.5883832096
87	0.587946372
88	0.58741446
89	0.5868756068
90	0.5861717088
91	0.5856467955
92	0.5850356272
93	0.5843597898
94	0.5838135196
95	0.5833917279
96	0.5827163142
97	0.5821789254
98	0.5817118743
99	0.5813919427
100	0.5806789407
101	0.5799089028
102	0.5794907616
103	0.5790688357
104	0.5786509698
105	0.577928297
106	0.5773614914
107	0.5768533984
108	0.576534812
109	0.5757384739
110	0.5752534413
111	0.5747586202
112	0.5742634507
113	0.5736284555
114	0.5726113419
115	0.5721145285
116	0.5714234811
117	0.5705619546
118	0.5702275187
119	0.569343495
120	0.5686049063
121	0.5678207549
122	0.5670561091
123	0.5664908796
124	0.5659831646
125	0.5655339674
126	0.5648708177
127	0.5644214561
128	0.5639579265
129	0.5632276079
130	0.5627692303
131	0.5625089222
132	0.561814308
133	0.5614705275
134	0.5611716532
135	0.5606039617
136	0.5602583545
137	0.5598431272
138	0.5592815074
139	0.5587982847
140	0.5582292334
141	0.5576190538
142	0.5565962238
143	0.5560234668
144	0.5553970713
145	0.5547976726
146	0.5539484053
147	0.5535537839
148	0.5525855476
149	0.5522478409
150	0.5517420905
151	0.5515102468
152	0.55066004
153	0.5503307626
154	0.5496067422
155	0.5487273199
156	0.5481223106
157	0.547448011
158	0.5464968216
159	0.5458758592
160	0.5450414078
161	0.5442585929
162	0.5437420102
163	0.5432753125
164	0.5427444164
165	0.5421097824
166	0.5412315197
167	0.5405087893
168	0.5399042896
169	0.5393445619
170	0.5384293888
171	0.5379212084
172	0.5372102587
173	0.536649303
174	0.5356112662
175	0.5351650439
176	0.5345911747
177	0.5336245029
178	0.5328424049
179	0.5321630763
180	0.5314809263
181	0.5312822118
182	0.5303844278
183	0.5295608257
184	0.5287964613
185	0.5284157445
186	0.5275391325
187	0.5267044355
188	0.5258456825
189	0.5253219767
190	0.5247218137
191	0.5239824126
192	0.5235888533
193	0.5231803225
194	0.5221533163
195	0.5211501137
196	0.5203527777
197	0.5197058004
198	0.5194025311
199	0.518664255
