iter	Passed	Remaining
0	1	208
1	1	143
2	1	122
3	2	113
4	2	106
5	3	107
6	3	106
7	4	104
8	4	100
9	5	98
10	5	97
11	6	95
12	6	95
13	7	95
14	8	102
15	8	100
16	9	99
17	9	97
18	10	96
19	10	94
20	10	92
21	11	91
22	11	90
23	12	90
24	13	92
25	13	91
26	14	91
27	14	90
28	15	90
29	15	89
30	16	88
31	16	87
32	17	86
33	17	85
34	17	84
35	18	84
36	18	83
37	19	83
38	20	82
39	20	82
40	20	81
41	21	80
42	21	80
43	22	79
44	23	81
45	24	81
46	24	80
47	25	80
48	25	79
49	26	79
50	27	79
51	27	78
52	28	78
53	28	77
54	29	76
55	29	75
56	30	75
57	30	74
58	30	73
59	31	73
60	32	73
61	32	72
62	33	72
63	33	71
64	34	70
65	34	69
66	35	70
67	36	71
68	37	70
69	37	69
70	38	69
71	38	68
72	38	67
73	39	66
74	39	66
75	40	65
76	40	65
77	41	64
78	41	64
79	42	63
80	42	62
81	43	62
82	43	61
83	44	61
84	44	60
85	45	60
86	45	59
87	46	58
88	46	58
89	47	57
90	47	57
91	48	56
92	48	56
93	49	55
94	49	54
95	50	54
96	50	53
97	51	53
98	52	53
99	52	52
100	53	52
101	53	51
102	54	51
103	54	50
104	55	50
105	55	49
106	56	49
107	56	48
108	57	47
109	57	47
110	58	46
111	58	46
112	59	45
113	59	45
114	60	44
115	60	43
116	61	43
117	61	42
118	62	42
119	62	41
120	63	41
121	63	40
122	64	40
123	65	40
124	65	39
125	66	38
126	66	38
127	67	37
128	68	37
129	68	37
130	69	36
131	69	35
132	70	35
133	70	34
134	71	34
135	71	33
136	72	33
137	72	32
138	73	32
139	73	31
140	74	31
141	74	30
142	75	29
143	75	29
144	76	28
145	76	28
146	76	27
147	77	27
148	77	26
149	78	26
150	78	25
151	79	25
152	79	24
153	80	24
154	80	23
155	81	22
156	81	22
157	82	21
158	82	21
159	83	20
160	83	20
161	83	19
162	84	19
163	84	18
164	85	18
165	85	17
166	86	17
167	86	16
168	87	16
169	87	15
170	88	15
171	88	14
172	89	13
173	89	13
174	90	12
175	90	12
176	91	11
177	91	11
178	92	10
179	92	10
180	93	9
181	93	9
182	93	8
183	94	8
184	94	7
185	95	7
186	95	6
187	96	6
188	96	5
189	97	5
190	97	4
191	98	4
192	98	3
193	98	3
194	99	2
195	99	2
196	101	1
197	101	1
198	101	0
199	102	0
